Job Title,Job link,Company,Salary,Experience,Min_Salary,Max_Salary,Experience(in yrs),Category
Junior Software Tester,https://internshala.com/job/detail/fresher-junior-software-tester-job-in-bangalore-at-freshers-job-fair-in1750161135,Freshers Job Fair .IN,"₹ 4,10,000 - 4,70,000 /year",0 year(s),410000,470000,0,Quality Assurance & Testing
Next JS Developer,https://internshala.com/job/detail/next-js-developer-job-in-multiple-locations-at-infoware1750312779,Infoware,"₹ 4,00,005 - 5,00,005 /year",1 year(s),400005,500005,1,Software Development
Application Support & Site Reliability Engineer,https://internshala.com/job/detail/application-support-site-reliability-engineer-job-in-hyderabad-at-hire-wings1750811517,Hire Wings,"₹ 4,00,000 - 25,00,000 /year",4 year(s),400000,2500000,4,Software Development
SAP SD Consultant,https://internshala.com/job/detail/sap-sd-consultant-job-in-pune-at-intineri-infosol-private-limited1751329970,INTINERI INFOSOL PRIVATE LIMITED,"₹ 4,00,000 - 15,00,000 /year",4 year(s),400000,1500000,4,SAP & ERP
.NET Developer,https://internshala.com/job/detail/fresher-remote-net-developer-job-at-deepnexusin1749917747,DeepNexus.in,"₹ 4,00,000 - 10,00,000 /year",0 year(s),400000,1000000,0,Software Development
Full Stack AI Engineer,https://internshala.com/job/detail/remote-full-stack-ai-engineer-job-at-canadamentors1751604494,CanadaMentors,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Data & AI
Python Developer,https://internshala.com/job/detail/python-developer-job-in-chandigarh-at-the-future-university1751550058,The Future University,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Data & AI
Quality Analyst,https://internshala.com/job/detail/quality-analyst-job-in-chennai-at-rightrev-india-private-limited1751245588,RightRev India Private Limited,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Data & AI
Full Stack Developer,https://internshala.com/job/detail/full-stack-developer-job-in-bangalore-at-wowpe1750152223,WowPe,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Software Development
Mobile App Developer,https://internshala.com/job/detail/remote-mobile-app-developer-job-at-rutecho-it-solution1749711106,Rutecho IT Solution,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Software Development
Computer Executive,https://internshala.com/job/detail/fresher-remote-part-time-computer-executive-job-at-redoak-computing1749297573,Redoak Computing,"₹ 4,00,000 - 8,00,000 /year",0 year(s),400000,800000,0,Other
Web Developer,https://internshala.com/job/detail/fresher-remote-web-developer-job-at-mediacom-india1751352466,MediaCom India,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Software Development
Full Stack Developer,https://internshala.com/job/detail/fresher-remote-full-stack-developer-job-at-mediacom-india1751347948,MediaCom India,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Software Development
Python Developer,https://internshala.com/job/detail/python-developer-job-in-mumbai-at-fikaa1751294382,FIKAA,"₹ 4,00,000 - 7,00,000 /year",1 year(s),400000,700000,1,Data & AI
Back-End Executive,https://internshala.com/job/detail/fresher-remote-part-time-back-end-executive-job-at-eviosys1751095997,Eviosys,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Other
Computer Operator Executive,https://internshala.com/job/detail/fresher-remote-part-time-computer-operator-executive-job-at-peerpoint1751021902,Peerpoint,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Other
Full Stack Developer,https://internshala.com/job/detail/remote-full-stack-developer-job-at-kualify-services-private-limited1750249520,Kualify Services Private Limited,"₹ 4,00,000 - 7,00,000 /year",1 year(s),400000,700000,1,Software Development
Computer Operator,https://internshala.com/job/detail/fresher-remote-part-time-computer-operator-job-at-redoak-computing1749640410,Redoak Computing,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Other
Computer Operator,https://internshala.com/job/detail/fresher-remote-part-time-computer-operator-job-at-mainlineit1749297598,MainlineIT,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Other
Quality Shift Incharge - Navi Mumbai Location,https://internshala.com/job/detail/quality-shift-incharge-navi-mumbai-location-job-in-navi-mumbai-at-reliance-retail1750725061,Reliance Retail,"₹ 4,00,000 - 7,00,000 /year",2 year(s),400000,700000,2,Data & AI
Business Development Executive - Ahmedabad,https://internshala.com/job/detail/business-development-executive-ahmedabad-job-in-ahmedabad-at-v3cube1750379475,V3Cube,"₹ 4,00,000 - 7,00,000 /year",2 year(s),400000,700000,2,Other
Business Development Executive - Ahmedabad,https://internshala.com/job/detail/business-development-executive-ahmedabad-job-in-ahmedabad-at-v3cube1749103870,V3Cube,"₹ 4,00,000 - 7,00,000 /year",2 year(s),400000,700000,2,Other
"Programmer Analyst Trainee / Programmer Analyst - (GenC Next, GenC Pro & GenC)",https://internshala.com/job/detail/fresher-programmer-analyst-trainee-programmer-analyst-job-in-multiple-locations-at-cognizant1751277104,Cognizant,"₹ 4,00,000 - 6,75,000 /year",0 year(s),400000,675000,0,Data & AI
Product Analyst,https://internshala.com/job/detail/product-analyst-job-in-gurgaon-at-unicorn-tech-media1751461438,Unicorn Tech Media,"₹ 4,00,000 - 6,00,000 /year",1 year(s),400000,600000,1,Data & AI
Senior Backend Developer,https://internshala.com/job/detail/remote-senior-backend-developer-job-at-amit-singh1750739032,AMIT SINGH,"₹ 4,00,000 - 6,00,000 /year",1 year(s),400000,600000,1,Software Development
Product Analyst,https://internshala.com/job/detail/fresher-product-analyst-job-in-bangalore-at-sharpsell-technology-solutions1750493351,Sharpsell Technology Solutions,"₹ 4,00,000 - 6,00,000 /year",0 year(s),400000,600000,0,Data & AI
Full Stack - Python And REACT,https://internshala.com/job/detail/full-stack-python-and-react-job-in-chennai-at-tandem-consulting-group1750413074,Tandem Consulting Group,"₹ 4,00,000 - 6,00,000 /year",1 year(s),400000,600000,1,Data & AI
Senior Full Stack Developer,https://internshala.com/job/detail/senior-full-stack-developer-job-in-multiple-locations-at-tanika-tech-jewels-private-limited1750404169,Tanika Tech Jewels Private Limited,"₹ 4,00,000 - 6,00,000 /year",1 year(s),400000,600000,1,Software Development
iOS App Developer,https://internshala.com/job/detail/ios-app-developer-job-in-mumbai-at-instaweb-labs-private-limited1750340165,InstaWeb Labs Private Limited,"₹ 4,00,000 - 6,00,000 /year",1 year(s),400000,600000,1,Software Development
Electronics Hardware & Software Specialist,https://internshala.com/job/detail/electronics-hardware-software-specialist-job-in-noida-at-indian-robotics-solution1750156770,Indian Robotics Solution,"₹ 4,00,000 - 6,00,000 /year",1 year(s),400000,600000,1,Electronics & Hardware
Junior Full Stack Developer,https://internshala.com/job/detail/remote-junior-full-stack-developer-job-at-blg-technologies1749917955,BLG Technologies,"₹ 4,00,000 - 6,00,000 /year",1 year(s),400000,600000,1,Software Development
Photo Editor,https://internshala.com/job/detail/photo-editor-job-in-multiple-locations-at-beyond-photos1749715959,BEYOND PHOTOS,"₹ 4,00,000 - 6,00,000 /year",1 year(s),400000,600000,1,IT Support & Infrastructure
MERN Stack Developer,https://internshala.com/job/detail/mern-stack-developer-job-in-multiple-locations-at-bxi-barter-exchange-of-india1751370722,BXI (Barter Exchange Of India),"₹ 4,00,000 - 5,50,000 /year",1 year(s),400000,550000,1,Software Development
Business Development Executive,https://internshala.com/job/detail/fresher-business-development-executive-job-in-multiple-locations-at-aaptatt1750653450,Aaptatt,"₹ 4,00,000 - 5,50,000 /year",0 year(s),400000,550000,0,Other
Node.js + Angular Developer,https://internshala.com/job/detail/nodejs-angular-developer-job-in-multiple-locations-at-admin-looks1750552254,Admin Looks,"₹ 4,00,000 - 5,50,000 /year",3 year(s),400000,550000,3,Software Development
Senior Data Engineer (Snowflake),https://internshala.com/job/detail/remote-senior-data-engineer-snowflake-job-at-crazy-solutions1749103280, Crazy Solutions,"₹ 12,00,000 - 26,00,000 /year",5 year(s),1200000,2600000,5,Data & AI
Data Architect - AEP,https://internshala.com/job/detail/remote-data-architect-aep-job-at-intineri-infosol-private-limited1749103752, INTINERI INFOSOL PRIVATE LIMITED,"₹ 12,00,000 - 24,00,000 /year",7 year(s),1200000,2400000,7,Data & AI
D365 Power Pages UX/UI Developer,https://internshala.com/job/detail/d365-power-pages-ux-ui-developer-job-in-multiple-locations-at-brainhunter-recruiting-pvt-ltd1750100418, Brainhunter Recruiting Pvt Ltd,"₹ 12,00,000 - 18,00,000 /year",4 year(s),1200000,1800000,4,Software Development
Senior PHP Developer,https://internshala.com/job/detail/senior-php-developer-job-in-bangalore-at-aliqan-technologies1749103750, ALIQAN Technologies,"₹ 12,00,000 - 18,00,000 /year",9 year(s),1200000,1800000,9,Software Development
Senior PHP Developer,https://internshala.com/job/detail/senior-php-developer-job-in-bangalore-at-aliqan-technologies1749103751, ALIQAN Technologies,"₹ 12,00,000 - 18,00,000 /year",9 year(s),1200000,1800000,9,Software Development
Eagle Star QC Analyst,https://internshala.com/job/detail/eagle-star-qc-analyst-job-in-multiple-locations-at-kiash-solutions-llp1749103335, Kiash Solutions LLP,"₹ 12,00,000 - 16,00,000 /year",3 year(s),1200000,1600000,3,Data & AI
Azure Platform Engineer,https://internshala.com/job/detail/remote-azure-platform-engineer-job-at-admin-looks1749150071, Admin Looks,"₹ 12,00,000 - 15,00,000 /year",7 year(s),1200000,1500000,7,Software Development
Senior Frontend Developer,https://internshala.com/job/detail/senior-frontend-developer-job-in-bangalore-at-lalitech1745973018,Lalitech,"₹ 12,00,000 - 15,00,000 /year",4 year(s),1200000,1500000,4,Software Development
Senior Network Engineer,https://internshala.com/job/detail/senior-network-engineer-job-in-coimbatore-at-almighty-hrd-consultants1745973021,Almighty HRD Consultants,"₹ 11,00,000 - 18,00,000 /year",7 year(s),1100000,1800000,7,Software Development
Sales Development Representative - US Market,https://internshala.com/job/detail/sales-development-representative-us-market-job-in-bangalore-at-contlo1748679007,Contlo,"₹ 10,00,000 - 20,00,000 /year",1 year(s),1000000,2000000,1,Sales & Marketing
Software Engineer (Flutter/Full-Stack),https://internshala.com/job/detail/fresher-remote-software-engineer-flutter-full-stack-job-at-z-naturals1748671402,Z NATURALS,"₹ 10,00,000 - 20,00,000 /year",0 year(s),1000000,2000000,0,Software Development
Python Developer,https://internshala.com/job/detail/python-developer-job-in-mohali-at-nexus-jobs1749103104,Nexus Jobs,"₹ 10,00,000 - 15,00,000 /year",3 year(s),1000000,1500000,3,Data & AI
Computer Vision Specialist,https://internshala.com/job/detail/computer-vision-specialist-job-in-delhi-at-kauriink-private-limited1748605578,Kauriink Private Limited,"₹ 9,60,000 - 13,00,000 /year",1 year(s),960000,1300000,1,Data & AI
DotNet Developer,https://internshala.com/job/detail/dotnet-developer-job-in-hyderabad-at-princo-solutions1749102978,Princo Solutions,"₹ 9,00,000 - 14,00,000 /year",5 year(s),900000,1400000,5,Software Development
Quality Assurance,https://internshala.com/job/detail/remote-quality-assurance-job-at-weekday1748502651,Weekday,"₹ 8,00,000 - 12,00,000 /year",1 year(s),800000,1200000,1,Quality Assurance & Testing
Software Development Engineer (Backend),https://internshala.com/job/detail/software-development-engineer-backend-job-in-bangalore-at-vidyuttech-services-private-limited1748420112,VidyutTech Services Private Limited,"₹ 8,00,000 - 12,00,000 /year",1 year(s),800000,1200000,1,Software Development
Software Engineer Trainee,https://internshala.com/job/detail/fresher-remote-software-engineer-trainee-job-at-nanomark-technologies1749818539,Nanomark Technologies,"₹ 8,00,000 - 10,00,000 /year",0 year(s),800000,1000000,0,Data & AI
Python Developer,https://internshala.com/job/detail/python-developer-job-in-noida-at-settlezy1748503999,Settlezy,"₹ 7,20,000 - 10,80,000 /year",1 year(s),720000,1080000,1,Data & AI
Digital Marketing -Team Lead,https://internshala.com/job/detail/digital-marketing-team-lead-job-in-ahmedabad-at-netclues1749102994,Netclues,"₹ 7,20,000 - 10,00,000 /year",5 year(s),720000,1000000,5,IT Support & Infrastructure
Senior Data Engineer - Azure,https://internshala.com/job/detail/senior-data-engineer-azure-job-in-bangalore-at-true-blue-hr-consultants1749103148,True Blue HR Consultants,"₹ 7,00,000 - 28,00,000 /year",4 year(s),700000,2800000,4,Data & AI
Software Development Engineer-1 (Frontend),https://internshala.com/job/detail/software-development-engineer-1-frontend-job-in-bangalore-at-vidyuttech-services-private-limited1748587345,VidyutTech Services Private Limited,"₹ 7,00,000 - 12,00,000 /year",1 year(s),700000,1200000,1,Software Development
Azure Sales / DAYSHIFT / Fixed Off /delhi,https://internshala.com/job/detail/azure-sales-dayshift-fixed-off-delhi-job-in-multiple-locations-at-sana-search-international1749102972,Sana Search International,"₹ 7,00,000 - 10,00,000 /year",2 year(s),700000,1000000,2,DevOps & Cloud
Associate Software Developer,https://internshala.com/job/detail/associate-software-developer-job-in-gurgaon-at-jina-code-systems-llp1749035571,Jina Code Systems LLP,"₹ 7,00,000 - 9,50,000 /year",1 year(s),700000,950000,1,Software Development
Android App Developer (Only Female Preferred)(PHP & Laravel),https://internshala.com/job/detail/fresher-android-app-developer-job-in-bangalore-at-saif-agro-tech1750140004,Saif Agro Tech,"₹ 2,00,001 - 3,50,000 /year",1 year(s),200001,350000,1,Software Development
Senior Information Technology Engineer,https://internshala.com/job/detail/senior-information-technology-engineer-job-in-multiple-locations-at-aksi-aerospace1750416461,AKSI AEROSPACE,"₹ 2,00,000 /year",1 year(s),200000,200000,1,Software Development
Head Of Security RMOTE,https://internshala.com/job/detail/remote-head-of-security-rmote-job-at-bharat-business-innovations-pvt-ltd1749103699,Bharat Business Innovations Pvt Ltd,"₹ 70,00,000 - 1,00,00,000 /year",10 year(s),7000000,10000000,10,Cybersecurity
Senior Engineer Blockchain Infrastructure - REMOTE,https://internshala.com/job/detail/remote-senior-engineer-blockchain-infrastructure-remote-job-at-bharat-business-innovations-pvt-ltd1749103700,Bharat Business Innovations Pvt Ltd,"₹ 40,00,000 - 50,00,000 /year",10 year(s),4000000,5000000,10,Data & AI
REMOTE - Senior Engineer- Trading,https://internshala.com/job/detail/remote-remote-senior-engineer-trading-job-at-bharat-business-innovations-pvt-ltd1749103699,Bharat Business Innovations Pvt Ltd,"₹ 40,00,000 - 50,00,000 /year",10 year(s),4000000,5000000,10,Software Development
DevOps Engineer ~ REMOTE,https://internshala.com/job/detail/remote-devops-engineer--remote-job-at-bharat-business-innovations-pvt-ltd1749103628,Bharat Business Innovations Pvt Ltd,"₹ 40,00,000 - 45,00,000 /year",5 year(s),4000000,4500000,5,Software Development
SAP FICO Consultant,https://internshala.com/job/detail/sap-fico-consultant-job-in-multiple-locations-at-kiash-solutions-llp1749103149,Kiash Solutions LLP,"₹ 25,00,000 - 36,00,000 /year",9 year(s),2500000,3600000,9,SAP & ERP
Android SDET,https://internshala.com/job/detail/android-sdet-job-in-vadodara-at-innovative-talent-solutions1749104062,Innovative Talent Solutions,"₹ 18,00,000 - 23,00,000 /year",3 year(s),1800000,2300000,3,Software Development
Backend SDET,https://internshala.com/job/detail/backend-sdet-job-in-vadodara-at-innovative-talent-solutions1749104061,Innovative Talent Solutions,"₹ 18,00,000 - 23,00,000 /year",3 year(s),1800000,2300000,3,Software Development
AI/ML Engineer,https://internshala.com/job/detail/ai-ml-engineer-job-in-mumbai-at-admin-looks1749103105,Admin Looks,"₹ 18,00,000 - 19,20,000 /year",12 year(s),1800000,1920000,12,Data & AI
Project Manager (Dotnet),https://internshala.com/job/detail/project-manager-dotnet-job-in-hyderabad-at-kiash-solutions-llp1749102999,Kiash Solutions LLP,"₹ 16,00,000 - 25,00,000 /year",12 year(s),1600000,2500000,12,Project & Product Management
SAP Project Manager,https://internshala.com/job/detail/sap-project-manager-job-in-pune-at-intineri-infosol-private-limited1749103990,INTINERI INFOSOL PRIVATE LIMITED,"₹ 15,00,000 - 40,00,000 /year",10 year(s),1500000,4000000,10,SAP & ERP
SAP GTS Consultant,https://internshala.com/job/detail/sap-gts-consultant-job-in-multiple-locations-at-kiash-solutions-llp1746577819,Kiash Solutions LLP,"₹ 15,00,000 - 25,00,000 /year",7 year(s),1500000,2500000,7,SAP & ERP
PHP Tech Lead Developer_ Bangalore,https://internshala.com/job/detail/php-tech-lead-developer-bangalore-job-in-bangalore-at-true-blue-hr-consultants1745541029,True Blue HR Consultants,"₹ 15,00,000 - 18,00,000 /year",7 year(s),1500000,1800000,7,Software Development
Senior Data Engineer (Snowflake),https://internshala.com/job/detail/remote-senior-data-engineer-snowflake-job-at-crazy-solutions1749103280,Crazy Solutions,"₹ 12,00,000 - 26,00,000 /year",5 year(s),1200000,2600000,5,Data & AI
Web Developer,https://internshala.com/job/detail/fresher-remote-web-developer-job-at-genesis1749442896,Genesis,"₹ 8,00,000 - 10,00,000 /year",0 year(s),800000,1000000,0,Software Development
Quality Assurance Engineer,https://internshala.com/job/detail/remote-quality-assurance-engineer-job-at-trooprai1746059427,Troopr.ai,"₹ 7,00,000 - 8,50,000 /year",1 year(s),700000,850000,1,Software Development
Co-Founder With Investment,https://internshala.com/job/detail/co-founder-with-investment-job-in-bangalore-at-sparc-studio1749103089,SPARC STUDIO,"₹ 6,00,000 - 24,00,000 /year",4 year(s),600000,2400000,4,IT Support & Infrastructure
Electronics Engineer,https://internshala.com/job/detail/remote-electronics-engineer-job-at-mirabilis-design-incorporation1748869266,Mirabilis Design Incorporation,"₹ 6,00,000 - 20,00,000 /year",1 year(s),600000,2000000,1,Software Development
AI Engineer,https://internshala.com/job/detail/ai-engineer-job-in-mangalore-at-anjaneya-ai-technologies-private-limited1748075058,Anjaneya AI Technologies Private Limited,"₹ 6,00,000 - 14,00,000 /year",1 year(s),600000,1400000,1,Data & AI
Front End Developer,https://internshala.com/job/detail/front-end-developer-job-in-mumbai-at-maximilian-globus1748873245,Maximilian Globus,"₹ 6,00,000 - 7,00,000 /year",1 year(s),600000,700000,1,Software Development
Front End Developer,https://internshala.com/job/detail/front-end-developer-job-in-mumbai-at-maximilian-globus1748329888,Maximilian Globus,"₹ 6,00,000 - 7,00,000 /year",1 year(s),600000,700000,1,Software Development
AI/ML ERPNext Developer,https://internshala.com/job/detail/remote-ai-ml-erpnext-developer-job-at-purple-cat-marketing1749463385,Purple Cat Marketing,"₹ 6,00,000 /year",1 year(s),600000,600000,1,Data & AI
Full Stack Developer,https://internshala.com/job/detail/full-stack-developer-job-in-mumbai-at-enpointe1748430282,Enpointe,"₹ 5,00,000 - 13,00,000 /year",1 year(s),500000,1300000,1,Software Development
Full Stack Developer,https://internshala.com/job/detail/remote-full-stack-developer-job-at-turningcloud-solutions-private-limited1749012048,TurningCloud Solutions Private Limited,"₹ 5,00,000 - 10,00,000 /year",1 year(s),500000,1000000,1,Software Development
Software Engineer,https://internshala.com/job/detail/fresher-remote-software-engineer-job-at-mediacom-india1749619075,MediaCom India,"₹ 5,00,000 - 8,00,000 /year",0 year(s),500000,800000,0,Software Development
Software Tester,https://internshala.com/job/detail/fresher-remote-software-tester-job-at-mediacom-india1749618091,MediaCom India,"₹ 5,00,000 - 8,00,000 /year",0 year(s),500000,800000,0,Quality Assurance & Testing
Software Developer,https://internshala.com/job/detail/fresher-remote-software-developer-job-at-mediacom-india1749617604,MediaCom India,"₹ 5,00,000 - 8,00,000 /year",0 year(s),500000,800000,0,Software Development
Android App Developer,https://internshala.com/job/detail/remote-android-app-developer-job-at-orkprep1749101625,OrkPrep,"₹ 5,00,000 - 8,00,000 /year",1 year(s),500000,800000,1,Software Development
Web Developer,https://internshala.com/job/detail/remote-web-developer-job-at-orkprep1749101427,OrkPrep,"₹ 5,00,000 - 8,00,000 /year",1 year(s),500000,800000,1,Software Development
Senior Python Developer,https://internshala.com/job/detail/remote-senior-python-developer-job-at-orkprep1748684050,OrkPrep,"₹ 5,00,000 - 8,00,000 /year",1 year(s),500000,800000,1,Data & AI
iOS App Developer,https://internshala.com/job/detail/ios-app-developer-job-in-bangalore-at-liveintuitions-technologies1750183468,LiveIntuitions Technologies,"₹ 5,00,000 - 7,50,000 /year",1 year(s),500000,750000,1,Software Development
Full Stack Blockchain Trainer,https://internshala.com/job/detail/full-stack-blockchain-trainer-job-in-ludhiana-at-quadb-tech1750078663,QuadB Tech,"₹ 5,00,000 - 7,00,000 /year",1 year(s),500000,700000,1,Data & AI
Senior IT Executive,https://internshala.com/job/detail/senior-it-executive-job-in-mumbai-at-garodia-group1749119038,Garodia Group,"₹ 5,00,000 - 7,00,000 /year",1 year(s),500000,700000,1,IT Support & Infrastructure
Product Specialist,https://internshala.com/job/detail/remote-product-specialist-job-at-socialpilot1748959935,SocialPilot,"₹ 5,00,000 - 7,00,000 /year",1 year(s),500000,700000,1,Other
Front End Developer,https://internshala.com/job/detail/front-end-developer-job-in-bangalore-at-liveintuitions-technologies1750221467,LiveIntuitions Technologies,"₹ 5,00,000 - 6,50,000 /year",1 year(s),500000,650000,1,Software Development
Technical Support Specialist,https://internshala.com/job/detail/fresher-technical-support-specialist-job-in-bangalore-at-cleartax1749029181,ClearTax,"₹ 5,00,000 - 6,00,000 /year",0 year(s),500000,600000,0,IT Support & Infrastructure
React Native Developer,https://internshala.com/job/detail/remote-react-native-developer-job-at-agnitimba-private-limited1748840186,Agnitimba Private Limited,"₹ 5,00,000 /year",1 year(s),500000,500000,1,Software Development
Senior Web Developer,https://internshala.com/job/detail/senior-web-developer-job-in-hyderabad-at-rj-global-solutions1749056401,RJ Global Solutions,"₹ 4,96,000 - 7,50,000 /year",1 year(s),496000,750000,1,Software Development
Android App Developer,https://internshala.com/job/detail/android-app-developer-job-in-bangalore-at-liveintuitions-technologies1750221381,LiveIntuitions Technologies,"₹ 4,50,000 - 6,00,000 /year",1 year(s),450000,600000,1,Software Development
Web Developer (Backend),https://internshala.com/job/detail/web-developer-backend-job-in-bangalore-at-liveintuitions-technologies1750221361,LiveIntuitions Technologies,"₹ 4,50,000 - 6,00,000 /year",1 year(s),450000,600000,1,Software Development
Backend Developer,https://internshala.com/job/detail/backend-developer-job-in-bangalore-at-liveintuitions-technologies1750183770,LiveIntuitions Technologies,"₹ 4,50,000 - 6,00,000 /year",1 year(s),450000,600000,1,Software Development
IOT Engineer,https://internshala.com/job/detail/iot-engineer-job-in-bangalore-at-nerastech--neweras-enercon-technologies-pvt-ltd1748934079,NERASTECH ( NEWERAS ENERCON TECHNOLOGIES PVT LTD.),"₹ 4,50,000 - 6,00,000 /year",1 year(s),450000,600000,1,Software Development
Data Visualization Associate,https://internshala.com/job/detail/fresher-remote-data-visualization-associate-job-at-datavinci-private-limited1748935518,DataVinci Private Limited,"₹ 4,50,000 - 5,50,000 /year",0 year(s),450000,550000,0,Data & AI
Junior Web Analytics Developer,https://internshala.com/job/detail/fresher-remote-junior-web-analytics-developer-job-at-datavinci-private-limited1748259500,DataVinci Private Limited,"₹ 4,50,000 - 5,50,000 /year",0 year(s),450000,550000,0,Data & AI
STEM Curriculum Developer – Computer Science & Robotics (Onsite),https://internshala.com/job/detail/stem-curriculum-developer--computer-science-robotics-onsite-job-in-hyderabad-at-superteacher-edureforms1748442407,SuperTeacher Edureforms,"₹ 4,50,000 - 5,00,000 /year",1 year(s),450000,500000,1,Software Development
Quantity Surveyor,https://internshala.com/job/detail/quantity-surveyor-job-in-bangalore-at-futureal1748340258,Futureal,"₹ 4,50,000 - 5,00,000 /year",1 year(s),450000,500000,1,IT Support & Infrastructure
Shopify Coder,https://internshala.com/job/detail/remote-shopify-coder-job-at-working-weekends1749123832,Working Weekends,"₹ 4,50,000 /year",1 year(s),450000,450000,1,Other
Associate Software Developer,https://internshala.com/job/detail/fresher-associate-software-developer-job-in-mumbai-at-razor-edge-analytics-private-limited1748965667,Razor Edge Analytics Private Limited,"₹ 4,25,000 - 6,00,000 /year",0 year(s),425000,600000,0,Software Development
Senior Node JS Backend Developer,https://internshala.com/job/detail/senior-node-js-backend-developer-job-in-mumbai-at-elevatex1748955233,ElevateX,"₹ 4,20,000 - 5,40,000 /year",1 year(s),420000,540000,1,Software Development
Trainee Software Engineer,https://internshala.com/job/detail/fresher-trainee-software-engineer-job-in-noida-at-gigaforce-software-private-limited1749122080,GigaForce Software Private Limited,"₹ 4,20,000 - 5,00,000 /year",0 year(s),420000,500000,0,Data & AI
Backend Developer,https://internshala.com/job/detail/backend-developer-job-in-bangalore-at-trade-brains1749124802,Trade Brains,"₹ 4,20,000 - 4,50,000 /year",1 year(s),420000,450000,1,Software Development
Junior Software Tester,https://internshala.com/job/detail/fresher-junior-software-tester-job-in-pune-at-freshers-job-fair-in1748275883,Freshers Job Fair .IN,"₹ 4,10,000 - 4,70,000 /year",0 year(s),410000,470000,0,Quality Assurance & Testing
Junior Software Tester,https://internshala.com/job/detail/fresher-junior-software-tester-job-in-cochin-at-freshers-job-fair-in1748275861,Freshers Job Fair .IN,"₹ 4,10,000 - 4,70,000 /year",0 year(s),410000,470000,0,Quality Assurance & Testing
Junior Software Tester,https://internshala.com/job/detail/fresher-junior-software-tester-job-in-chennai-at-freshers-job-fair-in1748275832,Freshers Job Fair .IN,"₹ 4,10,000 - 4,70,000 /year",0 year(s),410000,470000,0,Quality Assurance & Testing
Junior Software Tester,https://internshala.com/job/detail/fresher-junior-software-tester-job-in-hyderabad-at-freshers-job-fair-in1748275791,Freshers Job Fair .IN,"₹ 4,10,000 - 4,70,000 /year",0 year(s),410000,470000,0,Quality Assurance & Testing
Junior Software Tester,https://internshala.com/job/detail/fresher-junior-software-tester-job-in-mumbai-at-freshers-job-fair-in1748275762,Freshers Job Fair .IN,"₹ 4,10,000 - 4,70,000 /year",0 year(s),410000,470000,0,Quality Assurance & Testing
Head Of Technology,https://internshala.com/job/detail/fresher-head-of-technology-job-in-multiple-locations-at-pawzz1748250030,Pawzz,"₹ 4,00,000 - 9,00,000 /year",0 year(s),400000,900000,0,Other
Technical Project Manager,https://internshala.com/job/detail/technical-project-manager-job-in-mumbai-at-enpointe1748059332,Enpointe,"₹ 4,00,000 - 9,00,000 /year",1 year(s),400000,900000,1,Project & Product Management
Backend Developer,https://internshala.com/job/detail/backend-developer-job-in-gurgaon-at-monkhub1750306847,Monkhub,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Software Development
Software Engineer,https://internshala.com/job/detail/software-engineer-job-in-hyderabad-at-productrx-consulting-private-limited1748862876,ProductRx Consulting Private Limited,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Software Development
Full Stack Developer,https://internshala.com/job/detail/remote-full-stack-developer-job-at-swan-investment1748590155,Swan Investment,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Software Development
Data Engineer - Web Scraping,https://internshala.com/job/detail/remote-data-engineer-web-scraping-job-at-rapidious1748059813,Rapidious,"₹ 4,00,000 - 8,00,000 /year",1 year(s),400000,800000,1,Data & AI
Full Stack Developer,https://internshala.com/job/detail/fresher-remote-full-stack-developer-job-at-mediacom-india1749619104,MediaCom India,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Software Development
Web Developer,https://internshala.com/job/detail/fresher-remote-web-developer-job-at-mediacom-india1749617406,MediaCom India,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Software Development
Back End Executive,https://internshala.com/job/detail/fresher-remote-part-time-back-end-executive-job-at-mainlineit1749016096,MainlineIT,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Other
Backend Maintenance Executive,https://internshala.com/job/detail/fresher-remote-part-time-backend-maintenance-executive-job-at-redoak-computing1748946088,Redoak Computing,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Data & AI
Computer Executive,https://internshala.com/job/detail/fresher-remote-part-time-computer-executive-job-at-redoak-computing1748677232,Redoak Computing,"₹ 4,00,000 - 7,00,000 /year",0 year(s),400000,700000,0,Other
